cma,province,year,seniors_65plus,median_household_income,median_after_tax_income,low_income_rate_pct,poverty_rate_pct,seniors_living_alone_pct,living_alone_all_ages_pct,one_person_households_pct,single_parent_households_pct,neither_official_language_pct,english_only_pct,french_only_pct,bilingual_en_fr_pct,disability_rate_pct,activity_limitation_pct,housing_cost_30pct_plus_pct,housing_unsuitable_pct,housing_need_major_repairs_pct,recent_immigrants_pct,visible_minority_pct,indigenous_identity_pct,seniors_65plus_2021,seniors_65plus_2025,abs_change_2021_2025,cagr_2021_2025,yoy_2025,share_of_ON_65plus_2025
Barrie,ON,2021,34894.0,97000.0,85000.0,7.7,,,8.3,22.2,9.8,0.8,92.7,0.1,6.4,,,25.3,3.9,4.6,,15.4,3.3,34894.0,41276.0,6382.0,0.04288569829299038,0.04729524002841774,0.015466237207174362
Barrie,ON,2022,36208.0,97000.0,85000.0,7.7,,,8.3,22.2,9.8,0.8,92.7,0.1,6.4,,,25.3,3.9,4.6,,15.4,3.3,34894.0,41276.0,6382.0,0.04288569829299038,0.04729524002841774,0.015466237207174362
Barrie,ON,2023,37651.0,97000.0,85000.0,7.7,,,8.3,22.2,9.8,0.8,92.7,0.1,6.4,,,25.3,3.9,4.6,,15.4,3.3,34894.0,41276.0,6382.0,0.04288569829299038,0.04729524002841774,0.015466237207174362
Barrie,ON,2024,39412.0,97000.0,85000.0,7.7,,,8.3,22.2,9.8,0.8,92.7,0.1,6.4,,,25.3,3.9,4.6,,15.4,3.3,34894.0,41276.0,6382.0,0.04288569829299038,0.04729524002841774,0.015466237207174362
Barrie,ON,2025,41276.0,97000.0,85000.0,7.7,,,8.3,22.2,9.8,0.8,92.7,0.1,6.4,,,25.3,3.9,4.6,,15.4,3.3,34894.0,41276.0,6382.0,0.04288569829299038,0.04729524002841774,0.015466237207174362
Belleville - Quinte West,ON,2021,25627.0,78000.0,69500.0,10.5,,,11.7,27.8,9.1,0.3,92.5,0.2,7.1,,,18.6,3.8,6.4,,6.8,5.5,25627.0,29456.0,3829.0,0.035425843739478546,0.033362567970531484,0.011037248841324935
Belleville - Quinte West,ON,2022,26724.0,78000.0,69500.0,10.5,,,11.7,27.8,9.1,0.3,92.5,0.2,7.1,,,18.6,3.8,6.4,,6.8,5.5,25627.0,29456.0,3829.0,0.035425843739478546,0.033362567970531484,0.011037248841324935
Belleville - Quinte West,ON,2023,27600.0,78000.0,69500.0,10.5,,,11.7,27.8,9.1,0.3,92.5,0.2,7.1,,,18.6,3.8,6.4,,6.8,5.5,25627.0,29456.0,3829.0,0.035425843739478546,0.033362567970531484,0.011037248841324935
Belleville - Quinte West,ON,2024,28505.0,78000.0,69500.0,10.5,,,11.7,27.8,9.1,0.3,92.5,0.2,7.1,,,18.6,3.8,6.4,,6.8,5.5,25627.0,29456.0,3829.0,0.035425843739478546,0.033362567970531484,0.011037248841324935
Belleville - Quinte West,ON,2025,29456.0,78000.0,69500.0,10.5,,,11.7,27.8,9.1,0.3,92.5,0.2,7.1,,,18.6,3.8,6.4,,6.8,5.5,25627.0,29456.0,3829.0,0.035425843739478546,0.033362567970531484,0.011037248841324935
Brantford,ON,2021,28877.0,85000.0,76000.0,9.4,,,10.1,25.7,10.1,0.8,94.7,0.0,4.5,,,20.5,4.7,5.9,,12.9,4.5,28877.0,32788.0,3911.0,0.03226383769869523,0.031101606968772604,0.012285758928889256
Brantford,ON,2022,29876.0,85000.0,76000.0,9.4,,,10.1,25.7,10.1,0.8,94.7,0.0,4.5,,,20.5,4.7,5.9,,12.9,4.5,28877.0,32788.0,3911.0,0.03226383769869523,0.031101606968772604,0.012285758928889256
