year,cma_code,cma_name,appl_risk_class,licence_type_desc,active_device_count,active_licence_count,seniors_65plus
1998,535,Toronto,2,Device Family,4,4,1002645
1998,535,Toronto,2,Device Group Family,2,1,1002645
1998,535,Toronto,2,Single Device,1,1,1002645
1998,NA,Unmapped / Out-of-scope,2,Device Family,4,2,
1998,NA,Unmapped / Out-of-scope,2,Test Kit,3,3,
1999,530,Kawartha Lakes,2,Device Family,4,4,
1999,530,Kawartha Lakes,2,Device Group,2,2,
1999,530,Kawartha Lakes,2,Device Group Family,3,3,
1999,530,Kawartha Lakes,2,Single Device,14,14,
1999,530,Kawartha Lakes,3,Device Group Family,1,1,
1999,532,Oshawa,2,Device Family,2,1,65435
1999,532,Oshawa,2,Test Kit,1,1,65435
1999,535,Toronto,2,Device Family,35,22,1002645
1999,535,Toronto,2,Device Group,1,1,1002645
1999,535,Toronto,2,Device Group Family,9,7,1002645
1999,535,Toronto,2,Single Device,2,2,1002645
1999,535,Toronto,3,Device Family,26,4,1002645
1999,535,Toronto,3,System,2,1,1002645
1999,537,Hamilton,2,Device Family,3,1,149635
1999,537,Hamilton,2,Test Kit,5,5,149635
1999,568,Barrie,2,Device Family,1,1,34440
1999,NA,Unmapped / Out-of-scope,2,Device Family,64,37,
1999,NA,Unmapped / Out-of-scope,2,Device Group,15,3,
1999,NA,Unmapped / Out-of-scope,2,Device Group Family,22,13,
1999,NA,Unmapped / Out-of-scope,2,Single Device,10,10,
1999,NA,Unmapped / Out-of-scope,2,System,11,4,
1999,NA,Unmapped / Out-of-scope,2,Test Kit,22,22,
1999,NA,Unmapped / Out-of-scope,3,Device Family,2,1,
1999,NA,Unmapped / Out-of-scope,3,System,1,1,
2000,530,Kawartha Lakes,2,Device Family,6,5,
2000,530,Kawartha Lakes,2,Device Group,2,2,
2000,530,Kawartha Lakes,2,Device Group Family,3,3,
2000,530,Kawartha Lakes,2,Single Device,14,14,
2000,530,Kawartha Lakes,3,Device Group Family,1,1,
2000,532,Oshawa,2,Device Family,2,1,65435
2000,532,Oshawa,2,Test Kit,1,1,65435
2000,535,Toronto,2,Device Family,39,23,1002645
2000,535,Toronto,2,Device Group,1,1,1002645
