year,cma_code,cma_name,vendor_count,active_licence_count,active_device_count,seniors_65plus
1998,535,Toronto,2,6,7,1002645
1998,NA,Unmapped / Out-of-scope,1,5,7,
1999,530,Kawartha Lakes,1,24,24,
1999,532,Oshawa,1,2,3,65435
1999,535,Toronto,8,37,75,1002645
1999,537,Hamilton,2,6,8,149635
1999,568,Barrie,1,1,1,34440
1999,NA,Unmapped / Out-of-scope,20,91,147,
2000,530,Kawartha Lakes,1,25,26,
2000,532,Oshawa,1,2,3,65435
2000,535,Toronto,8,44,90,1002645
2000,537,Hamilton,2,6,8,149635
2000,568,Barrie,1,1,1,34440
2000,NA,Unmapped / Out-of-scope,22,110,178,
2001,530,Kawartha Lakes,1,25,26,
2001,532,Oshawa,1,2,3,65435
2001,535,Toronto,8,47,94,1002645
2001,537,Hamilton,2,7,9,149635
2001,568,Barrie,1,2,2,34440
2001,NA,Unmapped / Out-of-scope,27,129,215,
2002,530,Kawartha Lakes,1,25,26,
2002,532,Oshawa,1,2,3,65435
2002,535,Toronto,11,54,106,1002645
2002,537,Hamilton,2,7,9,149635
2002,568,Barrie,1,3,3,34440
2002,NA,Unmapped / Out-of-scope,33,156,272,
2003,530,Kawartha Lakes,1,25,26,
2003,532,Oshawa,1,2,3,65435
2003,535,Toronto,11,58,114,1002645
2003,537,Hamilton,2,8,10,149635
2003,568,Barrie,1,4,7,34440
2003,NA,Unmapped / Out-of-scope,35,172,304,
2004,530,Kawartha Lakes,1,25,26,
2004,532,Oshawa,1,2,3,65435
2004,535,Toronto,14,65,130,1002645
2004,537,Hamilton,3,15,30,149635
2004,568,Barrie,1,5,8,34440
2004,NA,Unmapped / Out-of-scope,43,217,393,
2005,530,Kawartha Lakes,1,26,27,
2005,532,Oshawa,1,2,3,65435
2005,535,Toronto,18,80,160,1002645
2005,537,Hamilton,3,17,33,149635
2005,568,Barrie,1,5,8,34440
2005,NA,Unmapped / Out-of-scope,51,245,475,
2006,530,Kawartha Lakes,1,26,27,
2006,532,Oshawa,1,2,3,65435
2006,535,Toronto,25,94,215,1002645
2006,537,Hamilton,3,17,33,149635
2006,541,Kitchener - Cambridge - Waterloo,2,6,31,89705
2006,568,Barrie,1,8,13,34440
2006,NA,Unmapped / Out-of-scope,63,285,565,
2007,530,Kawartha Lakes,1,26,27,
2007,532,Oshawa,1,2,3,65435
2007,535,Toronto,27,103,259,1002645
2007,537,Hamilton,4,20,38,149635
2007,541,Kitchener - Cambridge - Waterloo,2,7,35,89705
2007,568,Barrie,1,9,15,34440
2007,NA,Unmapped / Out-of-scope,69,347,707,
2008,530,Kawartha Lakes,1,26,27,
2008,532,Oshawa,1,2,3,65435
2008,535,Toronto,29,123,328,1002645
2008,537,Hamilton,4,22,40,149635
2008,541,Kitchener - Cambridge - Waterloo,3,8,36,89705
2008,568,Barrie,1,11,17,34440
2008,NA,Unmapped / Out-of-scope,76,378,779,
2009,530,Kawartha Lakes,1,26,46,
2009,532,Oshawa,1,2,3,65435
2009,535,Toronto,29,137,391,1002645
2009,537,Hamilton,4,22,41,149635
2009,541,Kitchener - Cambridge - Waterloo,3,8,36,89705
2009,568,Barrie,1,14,32,34440
2009,NA,Unmapped / Out-of-scope,90,454,972,
2010,530,Kawartha Lakes,1,28,48,
2010,532,Oshawa,1,2,3,65435
2010,535,Toronto,31,164,504,1002645
2010,537,Hamilton,4,23,42,149635
2010,541,Kitchener - Cambridge - Waterloo,5,13,42,89705
2010,568,Barrie,1,14,32,34440
2010,NA,Unmapped / Out-of-scope,97,534,1247,
2011,530,Kawartha Lakes,1,28,52,
2011,532,Oshawa,1,2,3,65435
2011,535,Toronto,33,178,545,1002645
2011,537,Hamilton,4,23,42,149635
2011,541,Kitchener - Cambridge - Waterloo,5,13,42,89705
2011,568,Barrie,1,14,32,34440
2011,NA,Unmapped / Out-of-scope,108,586,1434,
2012,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),1,1,1,195980
2012,530,Kawartha Lakes,1,28,54,
2012,532,Oshawa,1,2,3,65435
2012,535,Toronto,37,197,607,1002645
2012,537,Hamilton,4,28,51,149635
2012,541,Kitchener - Cambridge - Waterloo,5,14,44,89705
2012,568,Barrie,1,15,34,34440
2012,NA,Unmapped / Out-of-scope,118,647,1710,
2013,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),1,1,1,195980
2013,530,Kawartha Lakes,1,28,54,
2013,532,Oshawa,1,3,4,65435
2013,535,Toronto,38,212,640,1002645
2013,537,Hamilton,4,28,51,149635
2013,541,Kitchener - Cambridge - Waterloo,5,18,50,89705
2013,568,Barrie,1,17,36,34440
2013,NA,Unmapped / Out-of-scope,130,716,1871,
2014,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),1,1,1,195980
2014,530,Kawartha Lakes,1,28,54,
2014,532,Oshawa,1,3,4,65435
2014,535,Toronto,41,226,773,1002645
2014,537,Hamilton,4,31,59,149635
2014,541,Kitchener - Cambridge - Waterloo,6,20,75,89705
2014,568,Barrie,1,18,38,34440
2014,NA,Unmapped / Out-of-scope,145,785,2060,
2015,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),2,3,3,195980
2015,530,Kawartha Lakes,1,28,54,
2015,532,Oshawa,1,3,4,65435
2015,535,Toronto,46,256,862,1002645
2015,537,Hamilton,4,33,61,149635
2015,541,Kitchener - Cambridge - Waterloo,7,22,99,89705
2015,568,Barrie,1,19,41,34440
2015,NA,Unmapped / Out-of-scope,156,875,2339,
2016,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),2,4,4,195980
2016,530,Kawartha Lakes,1,28,54,
2016,532,Oshawa,1,3,4,65435
2016,535,Toronto,49,288,951,1002645
2016,537,Hamilton,4,33,69,149635
2016,541,Kitchener - Cambridge - Waterloo,8,25,106,89705
2016,568,Barrie,1,19,41,34440
2016,NA,Unmapped / Out-of-scope,168,940,2530,
2017,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),2,4,4,195980
2017,530,Kawartha Lakes,1,28,54,
2017,532,Oshawa,1,3,4,65435
2017,535,Toronto,55,314,1006,1002645
2017,537,Hamilton,5,37,79,149635
2017,541,Kitchener - Cambridge - Waterloo,8,31,118,89705
2017,568,Barrie,1,20,43,34440
2017,NA,Unmapped / Out-of-scope,182,1029,2899,
2018,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),3,10,13,195980
2018,530,Kawartha Lakes,1,28,54,
2018,532,Oshawa,1,3,4,65435
2018,535,Toronto,56,331,1069,1002645
2018,537,Hamilton,5,39,115,149635
